Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
LD1C9	4359343	1151776	3207567	0	0	0	0	0	0	0	0	0	0	0	0	26.420862042743597
LD1D1	4579822	1871427	2708395	0	0	0	0	0	0	0	0	0	0	0	0	40.86243963193329
LD1D10	4659452	1087017	3572435	0	0	0	0	0	0	0	0	0	0	0	0	23.329288508605732
LD1D2	4216770	1434855	2781915	0	0	0	0	0	0	0	0	0	0	0	0	34.02734794641396
LD1D3	3962702	1009139	2953563	0	0	0	0	0	0	0	0	0	0	0	0	25.4659320837146
LD1D4	4181613	1145848	3035765	0	0	0	0	0	0	0	0	0	0	0	0	27.402057531388007
LD1D5	4633166	1076324	3556842	0	0	0	0	0	0	0	0	0	0	0	0	23.23085337326571
LD1D6	4365698	1453102	2912596	0	0	0	0	0	0	0	0	0	0	0	0	33.28452861375203
LD1D7	4381019	1127496	3253523	0	0	0	0	0	0	0	0	0	0	0	0	25.735930385145554
LD1D8	4822433	1043333	3779100	0	0	0	0	0	0	0	0	0	0	0	0	21.634992129491483
LD1D9	4972017	1503928	3468089	0	0	0	0	0	0	0	0	0	0	0	0	30.247845089829738
O22A1	3876475	1230955	2645520	0	0	0	0	0	0	0	0	0	0	0	0	31.754493450879988
O22A2	3986338	1291380	2694958	0	0	0	0	0	0	0	0	0	0	0	0	32.39514561986464
O22A3	3152600	1019092	2133508	0	0	0	0	0	0	0	0	0	0	0	0	32.32544566389647
O22A4	2756729	926364	1830365	0	0	0	0	0	0	0	0	0	0	0	0	33.603738343522345
O22A5	3247048	770563	2476485	0	0	0	0	0	0	0	0	0	0	0	0	23.731185988011262
O22A6	3192035	1047715	2144320	0	0	0	0	0	0	0	0	0	0	0	0	32.82279173004055
O22A7	3754808	1063952	2690856	0	0	0	0	0	0	0	0	0	0	0	0	28.33572315814817
O22A8	2808953	733386	2075567	0	0	0	0	0	0	0	0	0	0	0	0	26.108874018183997
O22B1	3556062	1580885	1975177	0	0	0	0	0	0	0	0	0	0	0	0	44.45605841517949
O22B2	3814925	1396138	2418787	0	0	0	0	0	0	0	0	0	0	0	0	36.596735191386465
O22B3	3486028	967763	2518265	0	0	0	0	0	0	0	0	0	0	0	0	27.761194115480425
O22B4	3461062	853648	2607414	0	0	0	0	0	0	0	0	0	0	0	0	24.664337131204235
O22B5	3065797	893758	2172039	0	0	0	0	0	0	0	0	0	0	0	0	29.15254989159426
O22B6	3566356	1338585	2227771	0	0	0	0	0	0	0	0	0	0	0	0	37.533689850368276
O22B7	3455132	863897	2591235	0	0	0	0	0	0	0	0	0	0	0	0	25.003299439789856
O22B8	3020477	640881	2379596	0	0	0	0	0	0	0	0	0	0	0	0	21.217873865617914
O22C1	2907223	990035	1917188	0	0	0	0	0	0	0	0	0	0	0	0	34.054319190512736
O22C2	3308106	1285395	2022711	0	0	0	0	0	0	0	0	0	0	0	0	38.85591936896823
O22C3	3090693	782319	2308374	0	0	0	0	0	0	0	0	0	0	0	0	25.31209020112965
O22C4	3266235	1010116	2256119	0	0	0	0	0	0	0	0	0	0	0	0	30.926005018010034
O22C5	3293844	817327	2476517	0	0	0	0	0	0	0	0	0	0	0	0	24.813773815639113
O22C6	2834674	1181634	1653040	0	0	0	0	0	0	0	0	0	0	0	0	41.68500504819955
O22C7	3084142	697096	2387046	0	0	0	0	0	0	0	0	0	0	0	0	22.602590931286564
O22C8	2973039	730043	2242996	0	0	0	0	0	0	0	0	0	0	0	0	24.555446464038987
O22D1	3318966	1259544	2059422	0	0	0	0	0	0	0	0	0	0	0	0	37.949891622872904
O22D2	3347021	981386	2365635	0	0	0	0	0	0	0	0	0	0	0	0	29.321178444951496
O22D3	3453098	1111935	2341163	0	0	0	0	0	0	0	0	0	0	0	0	32.20108435960983
O22D4	3192594	841784	2350810	0	0	0	0	0	0	0	0	0	0	0	0	26.36677259933459
O22D5	3343949	980929	2363020	0	0	0	0	0	0	0	0	0	0	0	0	29.334448581602174
O22D6	3512286	1054932	2457354	0	0	0	0	0	0	0	0	0	0	0	0	30.035481165258183
O22D7	3688929	974098	2714831	0	0	0	0	0	0	0	0	0	0	0	0	26.405983959029843
O22D8	3342948	754728	2588220	0	0	0	0	0	0	0	0	0	0	0	0	22.57671970966943
highN4A1	2229370	581648	1647722	0	0	0	0	0	0	0	0	0	0	0	0	26.090240740657674
highN4A2	2187237	644817	1542420	0	0	0	0	0	0	0	0	0	0	0	0	29.480893017080454
highN4A3	2480982	841541	1639441	0	0	0	0	0	0	0	0	0	0	0	0	33.919673742090836
highN4A4	2595169	866649	1728520	0	0	0	0	0	0	0	0	0	0	0	0	33.394703774590404
highN4A5	1917841	481096	1436745	0	0	0	0	0	0	0	0	0	0	0	0	25.08529122070078
highN4A6	2194962	680063	1514899	0	0	0	0	0	0	0	0	0	0	0	0	30.982905398817838
highN4A7	2339188	782877	1556311	0	0	0	0	0	0	0	0	0	0	0	0	33.46789569713935
highN4A8	2257832	754260	1503572	0	0	0	0	0	0	0	0	0	0	0	0	33.40638276009907
highN4B1	2120158	651308	1468850	0	0	0	0	0	0	0	0	0	0	0	0	30.71978597821483
highN4B2	2408768	725437	1683331	0	0	0	0	0	0	0	0	0	0	0	0	30.116515994898634
highN4B3	2609002	717308	1891694	0	0	0	0	0	0	0	0	0	0	0	0	27.493578004156376
highN4B4	2677722	612009	2065713	0	0	0	0	0	0	0	0	0	0	0	0	22.85558396278628
highN4B5	2899479	863640	2035839	0	0	0	0	0	0	0	0	0	0	0	0	29.7860408714807
highN4B6	2324023	723195	1600828	0	0	0	0	0	0	0	0	0	0	0	0	31.118237642226433
highN4B7	2530147	664353	1865794	0	0	0	0	0	0	0	0	0	0	0	0	26.25748622510866
highN4B8	2382758	555402	1827356	0	0	0	0	0	0	0	0	0	0	0	0	23.309207229605356
highN4C1	2255408	638247	1617161	0	0	0	0	0	0	0	0	0	0	0	0	28.298516277321
highN4C2	2350331	719245	1631086	0	0	0	0	0	0	0	0	0	0	0	0	30.601859908242712
highN4C3	2061222	515703	1545519	0	0	0	0	0	0	0	0	0	0	0	0	25.019284676759707
highN4C4	2377270	724997	1652273	0	0	0	0	0	0	0	0	0	0	0	0	30.497040723182472
highN4C5	2127481	588650	1538831	0	0	0	0	0	0	0	0	0	0	0	0	27.668872248447812
highN4C6	1741115	549746	1191369	0	0	0	0	0	0	0	0	0	0	0	0	31.5743647030782
highN4C7	2241913	544413	1697500	0	0	0	0	0	0	0	0	0	0	0	0	24.283413317109094
highN4C8	2150518	668155	1482363	0	0	0	0	0	0	0	0	0	0	0	0	31.069491164454334
highN4D1	2419293	730389	1688904	0	0	0	0	0	0	0	0	0	0	0	0	30.190183661094377
highN4D2	2440704	549667	1891037	0	0	0	0	0	0	0	0	0	0	0	0	22.520838249947555
highN4D3	2431410	744723	1686687	0	0	0	0	0	0	0	0	0	0	0	0	30.62926450084519
highN4D4	2137742	558424	1579318	0	0	0	0	0	0	0	0	0	0	0	0	26.122141961003713
highN4D5	2169879	553400	1616479	0	0	0	0	0	0	0	0	0	0	0	0	25.503726244643133
highN4D6	2202364	505849	1696515	0	0	0	0	0	0	0	0	0	0	0	0	22.96845571395101
