sample,fastq_1,fastq_2,condition,replicate,time,group,reference_group
sample3B2,input/fastq/3B2_S62_L001_R1_001.fastq.gz,,LD_lowCO2_air,3,3.8,9,8
sample3B3,input/fastq/3B3_S63_L001_R1_001.fastq.gz,,LD_lowCO2_air,3,0,8,8
sample3B4,input/fastq/3B4_S64_L001_R1_001.fastq.gz,,LD_lowCO2_air,4,8.7,10,8
sample3B5,input/fastq/3B5_S65_L001_R1_001.fastq.gz,,LD_lowCO2_air,4,3.8,9,8
sample3B6,input/fastq/3B6_S66_L001_R1_001.fastq.gz,,LD_lowCO2_air,4,0,8,8
sample3C1,input/fastq/3C1_S67_L001_R1_001.fastq.gz,,LD_lowCO2_air,5,3.8,9,8
sample3C2,input/fastq/3C2_S68_L001_R1_001.fastq.gz,,LD_lowCO2_air,5,0,8,8
sample3C3,input/fastq/3C3_S69_L001_R1_001.fastq.gz,,LD_lowCO2_air,5,8.7,10,8
sample3C4,input/fastq/3C4_S70_L001_R1_001.fastq.gz,,LD_lowCO2_air,6,3.8,9,8
sample3C5,input/fastq/3C5_S71_L001_R1_001.fastq.gz,,LD_lowCO2_air,6,0,8,8
sample3C6,input/fastq/3C6_S72_L001_R1_001.fastq.gz,,LD_lowCO2_air,6,8.7,10,8
sample3D1,input/fastq/3D1_S73_L001_R1_001.fastq.gz,,LD_lowCO2_air,7,3.8,9,8
sample3D2,input/fastq/3D2_S74_L001_R1_001.fastq.gz,,LD_lowCO2_air,7,8.7,10,8
sample3D3,input/fastq/3D3_S75_L001_R1_001.fastq.gz,,LD_lowCO2_air,7,0,8,8
sample2A1,input/fastq/2A1_S76_L001_R1_001.fastq.gz,,lowCO2_N2,1,0,11,11
sample2A2,input/fastq/2A2_S77_L001_R1_001.fastq.gz,,lowCO2_N2,1,3.3,12,11
sample2A3,input/fastq/2A3_S78_L001_R1_001.fastq.gz,,lowCO2_N2,1,13,13,11
sample2A4,input/fastq/2A4_S79_L001_R1_001.fastq.gz,,lowCO2_N2,2,0,11,11
sample2A5,input/fastq/2A5_S80_L001_R1_001.fastq.gz,,lowCO2_N2,2,3.3,12,11
sample2A6,input/fastq/2A6_S81_L001_R1_001.fastq.gz,,lowCO2_N2,2,13,13,11
sample2B1,input/fastq/2B1_S82_L001_R1_001.fastq.gz,,lowCO2_N2,3,13,13,11
sample2B2,input/fastq/2B2_S83_L001_R1_001.fastq.gz,,lowCO2_N2,3,3.3,12,11
sample2B3,input/fastq/2B3_S84_L001_R1_001.fastq.gz,,lowCO2_N2,3,0,11,11
sample2B4,input/fastq/2B4_S85_L001_R1_001.fastq.gz,,lowCO2_N2,4,13,13,11
sample2B5,input/fastq/2B5_S86_L001_R1_001.fastq.gz,,lowCO2_N2,4,3.3,12,11
sample2B6,input/fastq/2B6_S87_L001_R1_001.fastq.gz,,lowCO2_N2,4,0,11,11
sample2C1,input/fastq/2C1_S88_L001_R1_001.fastq.gz,,lowCO2_N2,5,3.3,12,11
sample2C2,input/fastq/2C2_S89_L001_R1_001.fastq.gz,,lowCO2_N2,5,0,11,11
sample2C3,input/fastq/2C3_S90_L001_R1_001.fastq.gz,,lowCO2_N2,5,13,13,11
sample2C4,input/fastq/2C4_S91_L001_R1_001.fastq.gz,,lowCO2_N2,6,3.3,12,11
sample2C5,input/fastq/2C5_S92_L001_R1_001.fastq.gz,,lowCO2_N2,6,0,11,11
sample2C6,input/fastq/2C6_S93_L001_R1_001.fastq.gz,,lowCO2_N2,6,13,13,11
sample2D1,input/fastq/2D1_S94_L001_R1_001.fastq.gz,,lowCO2_N2,7,0,11,11
sample2D2,input/fastq/2D2_S95_L001_R1_001.fastq.gz,,lowCO2_N2,7,3.3,12,11
sample2D3,input/fastq/2D3_S96_L001_R1_001.fastq.gz,,lowCO2_N2,7,13,13,11
